,Season,SeasonOrder,Team,Round,TotalPoints,Position
498,2021,27,Famalicão,28,30,13
499,2021,27,Rio Ave,28,29,14
500,2021,27,Boavista,28,28,15
501,2021,27,Marítimo,28,27,16
502,2021,27,Farense,28,25,17
503,2021,27,Nacional,28,21,18
504,2021,27,Sporting CP,29,73,1
505,2021,27,FC Porto,29,67,2
506,2021,27,SL Benfica,29,63,3
507,2021,27,SC Braga,29,58,4
508,2021,27,Paços Ferreira,29,45,5
509,2021,27,V. Guimarães,29,38,6
510,2021,27,Santa Clara,29,36,7
511,2021,27,Moreirense,29,36,8
512,2021,27,Tondela,29,35,9
513,2021,27,Belenenses,29,34,10
514,2021,27,Portimonense,29,33,11
515,2021,27,Famalicão,29,31,12
516,2021,27,Gil Vicente,29,31,13
517,2021,27,Marítimo,29,30,14
518,2021,27,Rio Ave,29,30,15
519,2021,27,Boavista,29,28,16
520,2021,27,Farense,29,26,17
521,2021,27,Nacional,29,24,18
522,2021,27,Sporting CP,30,76,1
523,2021,27,FC Porto,30,70,2
524,2021,27,SL Benfica,30,66,3
525,2021,27,SC Braga,30,58,4
526,2021,27,Paços Ferreira,30,48,5
527,2021,27,V. Guimarães,30,41,6
528,2021,27,Santa Clara,30,37,7
529,2021,27,Moreirense,30,36,8
530,2021,27,Tondela,30,35,9
531,2021,27,Belenenses,30,34,10
532,2021,27,Portimonense,30,34,11
533,2021,27,Marítimo,30,33,12
534,2021,27,Gil Vicente,30,32,13
535,2021,27,Famalicão,30,31,14
536,2021,27,Rio Ave,30,31,15
537,2021,27,Boavista,30,29,16
538,2021,27,Farense,30,27,17
539,2021,27,Nacional,30,24,18
540,2021,27,Sporting CP,31,79,1
541,2021,27,FC Porto,31,71,2
542,2021,27,SL Benfica,31,67,3
543,2021,27,SC Braga,31,59,4
544,2021,27,Paços Ferreira,31,49,5
545,2021,27,V. Guimarães,31,42,6
546,2021,27,Santa Clara,31,37,7
547,2021,27,Moreirense,31,37,8
548,2021,27,Belenenses,31,37,9
549,2021,27,Tondela,31,36,10
550,2021,27,Gil Vicente,31,35,11
551,2021,27,Famalicão,31,34,12
552,2021,27,Portimonense,31,34,13
553,2021,27,Marítimo,31,33,14
554,2021,27,Rio Ave,31,31,15
555,2021,27,Boavista,31,30,16
556,2021,27,Farense,31,28,17
557,2021,27,Nacional,31,25,18
558,2021,27,FC Porto,32,74,1
559,2021,27,SC Braga,32,60,2
560,2021,27,Paços Ferreira,32,50,3
561,2021,27,Moreirense,32,40,4
562,2021,27,Gil Vicente,32,36,5
563,2021,27,Marítimo,32,34,6
564,2021,27,Portimonense,32,34,7
565,2021,27,Farense,32,28,8
566,1920,26,Famalicão,1,3,1
567,1920,26,Gil Vicente,1,3,2
568,1920,26,SL Benfica,1,3,3
569,1920,26,Boavista,1,3,4
570,1920,26,SC Braga,1,3,5
571,1920,26,Portimonense,1,1,6
572,1920,26,Sporting CP,1,1,7
573,1920,26,Rio Ave,1,1,8
574,1920,26,Tondela,1,1,9
575,1920,26,V. Setúbal,1,1,10
576,1920,26,V. Guimarães,1,1,11
577,1920,26,Marítimo,1,1,12
578,1920,26,Belenenses,1,1,13
579,1920,26,Moreirense,1,0,14
580,1920,26,Paços Ferreira,1,0,15
581,1920,26,FC Porto,1,0,16
582,1920,26,Santa Clara,1,0,17
583,1920,26,Desp. Aves,1,0,18
584,1920,26,Famalicão,2,6,1
585,1920,26,SL Benfica,2,6,2
586,1920,26,Sporting CP,2,4,3
587,1920,26,Boavista,2,4,4
