,Season,Player,Team,J,A,2A,VE,SeasonOrder
251,9697,Paulo Lima Pereira,Rio Ave,28,13,0,0,3.0
252,9697,Márcio Luís,Sp. Espinho,29,13,0,1,3.0
253,9697,Luís Miguel,Sp. Espinho,28,13,2,0,3.0
254,9697,Oceano,Sporting CP,30,13,1,0,3.0
255,9697,Lino,Sp. Espinho,31,13,0,2,3.0
256,9697,Pedrosa,Sporting CP,32,13,1,0,3.0
257,9697,Rui Esteves,Belenenses,34,13,0,0,3.0
258,9697,Fonseca,E. Amadora,26,12,0,0,3.0
259,9697,Jordão,E. Amadora,31,12,1,0,3.0
260,9798,Srdjan Slagalo,Varzim,32,17,1,0,4.0
261,9798,Nail Besirovic,Farense,31,15,0,0,4.0
262,9798,Paulo Dias,Belenenses,20,14,2,0,4.0
263,9798,Mozer,SC Braga,27,14,2,0,4.0
264,9798,Luizão,Varzim,28,13,2,1,4.0
265,9798,Basílio Marques,Campomaiorense,29,13,2,0,4.0
266,9798,Andrade,Belenenses,30,13,1,0,4.0
267,9798,Abazaj,Académica,23,12,0,0,4.0
268,9798,Ryuler,Leça,21,12,4,0,4.0
269,9798,Mauro Soares,Farense,29,12,1,0,4.0
270,9798,Oceano,Sporting CP,27,12,1,0,4.0
271,9798,Caetano,Belenenses,28,12,1,0,4.0
272,9798,Pedro Miguel,Farense,30,12,2,0,4.0
273,9798,Litos,Boavista,32,12,0,1,4.0
274,9798,Joel,Campomaiorense,22,11,1,0,4.0
275,9798,Sousa,SL Benfica,25,11,0,0,4.0
276,9798,Filgueira,Belenenses,26,11,2,0,4.0
277,9798,António Miranda,Varzim,32,11,0,0,4.0
278,9798,Rched Mounir,Académica,29,11,1,1,4.0
279,9798,Rui Carlos,V. Setúbal,31,11,0,0,4.0
280,9899,Hugo Costa,Alverca,29,17,3,1,5.0
281,9899,Luizão,Desp. Chaves,29,16,2,1,5.0
282,9899,Mauro Soares,Campomaiorense,27,15,1,0,5.0
283,9899,Cao,Salgueiros,31,15,1,0,5.0
284,9899,Márcio Antônio,Marítimo,30,14,0,0,5.0
285,9899,Quevedo,Boavista,31,14,1,0,5.0
