,Season,Player,Team,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE,SeasonOrder
231,0506,João Vieira Pinto,Boavista,31,9,0,0,281,9,0,1,3,0,24,12.0
232,0506,Grégory Arnolin,Gil Vicente,30,9,0,0,282,9,0,2,1,0,24,12.0
233,0506,Júnior,Paços Ferreira,33,9,3,0,315,9,0,1,0,0,24,12.0
234,0506,Kanú,Marítimo,25,8,1,0,258,8,0,0,2,0,21,12.0
235,0506,Simão Sabrosa,SL Benfica,24,8,4,0,259,8,0,1,1,0,16,12.0
236,0506,Adriano,FC Porto,15,7,1,0,163,7,0,0,3,0,13,12.0
237,0506,Zé Carlos,Marítimo,16,7,0,0,173,6,1,2,1,0,18,12.0
238,0506,Lisandro López,FC Porto,26,7,0,0,217,5,2,0,0,0,13,12.0
239,0506,Paulo César,U. Leiria,30,7,0,0,290,7,0,0,1,0,16,12.0
240,0607,Liedson,Sporting CP,28,15,1,0,160,15,0,0,1,0,28,13.0
241,0607,Dady,Belenenses,28,12,1,0,174,12,0,0,4,0,33,13.0
242,0607,Adriano,FC Porto,18,11,1,0,121,9,2,1,1,0,17,13.0
243,0607,Simão Sabrosa,SL Benfica,24,11,5,0,193,11,0,1,0,0,20,13.0
244,0607,Fabrizio Miccoli,SL Benfica,22,10,0,0,172,10,0,1,3,0,18,13.0
245,0607,Hélder Postiga,FC Porto,24,10,0,0,179,10,0,0,1,0,15,13.0
246,0607,Roland Linz,Boavista,28,10,0,0,230,10,0,1,2,1,31,13.0
247,0607,Nei,Naval,28,10,1,0,240,8,2,1,2,2,36,13.0
248,0607,Lucho González,FC Porto,30,9,3,1,284,9,0,0,1,1,14,13.0
249,0607,Alecsandro,Sporting CP,25,8,0,0,141,7,1,0,0,0,15,13.0
250,0607,Lisandro López,FC Porto,25,8,0,0,196,7,1,0,0,0,12,13.0
251,0607,Wender,SC Braga,23,8,3,0,207,8,0,1,4,1,23,13.0
252,0607,José Pedro,Belenenses,26,8,3,0,282,8,0,0,2,0,22,13.0
253,0607,Bartosz Slusarski,U. Leiria,24,7,0,0,209,6,1,1,4,1,28,13.0
