,Season,Jogador,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE
15,0203,Romeu [V. Guimarães],28.0,10.0,0.0,0.0,234.0,8.0,2.0,1.0,2.0,1.0,21.0
16,0203,Fabrício Ceará [Santa Clara],31.0,10.0,1.0,0.0,242.0,8.0,2.0,0.0,1.0,1.0,26.0
17,0203,Deco [FC Porto],30.0,10.0,0.0,0.0,255.0,10.0,0.0,0.0,3.0,1.0,14.0
18,0203,Jorginho [V. Setúbal],31.0,10.0,0.0,0.0,270.0,10.0,0.0,3.0,2.0,0.0,25.0
19,0203,Edgaras Jankauskas [FC Porto],30.0,9.0,1.0,0.0,134.0,1.0,8.0,1.0,2.0,0.0,12.0
0,0304,Benni McCarthy [FC Porto],29.0,20.0,4.0,0.0,99.0,18.0,2.0,0.0,6.0,0.0,32.0
1,0304,Adriano Louzada [Nacional],29.0,19.0,0.0,0.0,136.0,19.0,0.0,0.0,4.0,1.0,34.0
2,0304,Liedson [Sporting],30.0,15.0,0.0,0.0,172.0,15.0,0.0,0.0,2.0,1.0,25.0
3,0304,Evandro [Rio Ave],33.0,15.0,3.0,0.0,176.0,14.0,1.0,0.0,2.0,0.0,36.0
4,0304,Ricardo Sousa [Boavista],32.0,14.0,2.0,0.0,192.0,14.0,0.0,3.0,2.0,0.0,44.0
5,0304,Derlei [FC Porto],18.0,13.0,1.0,0.0,109.0,13.0,0.0,0.0,0.0,0.0,21.0
6,0304,Ferreira [Gil Vicente],30.0,12.0,0.0,0.0,203.0,12.0,0.0,1.0,2.0,0.0,28.0
7,0304,Simão Sabrosa [Benfica],31.0,12.0,3.0,0.0,226.0,12.0,0.0,2.0,2.0,0.0,19.0
8,0304,Tomo Sokota [Benfica],29.0,11.0,0.0,0.0,209.0,11.0,0.0,0.0,1.0,0.0,18.0
9,0304,Wender [SC Braga],31.0,11.0,4.0,0.0,232.0,11.0,0.0,0.0,3.0,1.0,31.0
