,Season,Jogador,J,A,2A,VE
7,1920,Fransérgio [SC Braga],26.0,11.0,0.0,1.0
8,1920,Carlinhos [V. Setúbal],30.0,11.0,0.0,0.0
9,1920,Filipe Augusto [Rio Ave],28.0,11.0,0.0,0.0
10,1920,Otávio [FC Porto],31.0,11.0,0.0,0.0
11,1920,Edgar Costa [Marítimo],27.0,10.0,0.0,1.0
12,1920,Rúben Ferreira [Marítimo],19.0,10.0,0.0,0.0
13,1920,Fabiano Leismann [Boavista],27.0,10.0,2.0,0.0
14,1920,Fábio Martins [FC Famalicão],29.0,10.0,1.0,1.0
15,1920,Sebastián Coates [Sporting],29.0,10.0,2.0,0.0
16,1920,Artur Jorge [V. Setúbal],30.0,10.0,0.0,0.0
17,1920,Willyan Rocha [Portimonense],16.0,9.0,1.0,0.0
18,1920,Nwankwo Obiora [Boavista],23.0,9.0,0.0,0.0
19,1920,Gabriel [Benfica],22.0,9.0,1.0,0.0
0,2021,Nicolás Otamendi [Benfica],23.0,12.0,0.0,0.0
1,2021,Fábio Pacheco [Moreirense],27.0,12.0,0.0,0.0
2,2021,Ygor Nogueira [Gil Vicente],22.0,11.0,1.0,1.0
3,2021,Fábio Cardoso [Santa Clara],24.0,11.0,1.0,0.0
4,2021,Henrique Buss [Belenenses SAD],25.0,11.0,1.0,0.0
5,2021,João Afonso [Gil Vicente],20.0,10.0,1.0,0.0
6,2021,Larry Azouni [Nacional],23.0,10.0,0.0,0.0
7,2021,Gustavo Assunção [FC Famalicão],22.0,10.0,0.0,0.0
8,2021,Jean Irmer [Marítimo],25.0,10.0,1.0,0.0
9,2021,Bebeto [CD Tondela],21.0,9.0,1.0,0.0
10,2021,Pedro Augusto [CD Tondela],24.0,9.0,0.0,0.0
11,2021,Julian Weigl [Benfica],25.0,9.0,0.0,0.0
12,2021,Willyan Rocha [Portimonense],28.0,9.0,0.0,0.0
13,2021,Angel Gomes [Boavista],26.0,9.0,1.0,0.0
14,2021,Jorge Fernandes [V. Guimarães],26.0,9.0,0.0,1.0
15,2021,Pedrão [Nacional],26.0,9.0,0.0,0.0
16,2021,Dener [Portimonense],29.0,9.0,0.0,0.0
17,2021,Javi García [Boavista],20.0,8.0,2.0,0.0
18,2021,Anderson Carvalho [Santa Clara],26.0,8.0,0.0,0.0
19,2021,Renê Santos [Marítimo],24.0,8.0,0.0,0.0
0,9495,Sérgio Cruz [Gil Vicente],26.0,15.0,1.0,0.0
1,9495,Tanta [V. Guimarães],29.0,15.0,3.0,0.0
2,9495,King [Farense],29.0,15.0,3.0,0.0
3,9495,Bobó [Boavista],22.0,14.0,4.0,0.0
4,9495,Dragan Gacesa [União Madeira],27.0,14.0,0.0,1.0
5,9495,Milton Mendes [União Madeira],16.0,12.0,2.0,0.0
6,9495,Stevan Milovać [SC Salgueiros],26.0,12.0,0.0,0.0
7,9495,Pedro Miguel [Beira-Mar],27.0,12.0,1.0,1.0
8,9495,Paulinho [Est. Amadora],31.0,12.0,1.0,0.0
9,9495,Chico Oliveira [SC Salgueiros],24.0,11.0,3.0,0.0
10,9495,Hugo Costa [Beira-Mar],26.0,11.0,3.0,0.0
11,9495,Sergei Yuran [FC Porto],23.0,10.0,2.0,0.0
12,9495,Bilro [UD Leiria],19.0,10.0,0.0,0.0
13,9495,Carlos Jorge [Marítimo],19.0,10.0,0.0,0.0
14,9495,Matias [V. Guimarães],20.0,10.0,1.0,0.0
15,9495,Cabral [Beira-Mar],30.0,10.0,2.0,0.0
16,9495,Claudio Caniggia [Benfica],24.0,10.0,0.0,2.0
17,9495,Mauro Airez [Belenenses],28.0,10.0,1.0,0.0
18,9495,Sérgio Duarte [Farense],28.0,10.0,0.0,0.0
19,9495,Tozé [Tirsense],29.0,10.0,1.0,0.0
0,9596,Sérgio Cruz [Gil Vicente],28.0,16.0,3.0,0.0
1,9596,Cao [Leça FC],26.0,15.0,2.0,1.0
