,Season,Equipa,J,A,2A,VE
4,0708,Est. Amadora,30.0,77.0,1.0,2.0
5,0708,Belenenses,30.0,72.0,2.0,4.0
6,0708,Marítimo,30.0,69.0,3.0,3.0
7,0708,Naval,30.0,69.0,5.0,4.0
8,0708,V. Setúbal,30.0,67.0,0.0,1.0
9,0708,Nacional,30.0,66.0,3.0,5.0
10,0708,Leixões,30.0,66.0,2.0,4.0
11,0708,Benfica,30.0,65.0,1.0,2.0
12,0708,Sporting,30.0,64.0,3.0,1.0
13,0708,Académica OAF,30.0,52.0,1.0,2.0
14,0708,FC Porto,30.0,48.0,0.0,1.0
15,0708,V. Guimarães,30.0,46.0,1.0,2.0
0,0809,Belenenses,30.0,101.0,3.0,1.0
1,0809,Paços de Ferreira,30.0,89.0,0.0,1.0
2,0809,Nacional,30.0,84.0,4.0,1.0
3,0809,Trofense,30.0,83.0,2.0,2.0
4,0809,Rio Ave,30.0,82.0,4.0,1.0
5,0809,Benfica,30.0,81.0,5.0,0.0
6,0809,V. Setúbal,30.0,78.0,3.0,2.0
7,0809,Sporting,30.0,77.0,5.0,2.0
8,0809,SC Braga,30.0,77.0,0.0,2.0
9,0809,Leixões,30.0,76.0,1.0,0.0
10,0809,Académica OAF,30.0,64.0,3.0,5.0
11,0809,V. Guimarães,30.0,64.0,1.0,3.0
12,0809,FC Porto,30.0,62.0,1.0,0.0
13,0809,Est. Amadora,30.0,60.0,3.0,2.0
14,0809,Marítimo,30.0,58.0,4.0,2.0
15,0809,Naval,30.0,57.0,0.0,1.0
0,0910,Olhanense,30.0,99.0,4.0,6.0
1,0910,Leixões,30.0,92.0,7.0,5.0
2,0910,V. Setúbal,30.0,88.0,6.0,1.0
3,0910,V. Guimarães,30.0,87.0,3.0,6.0
4,0910,Nacional,30.0,76.0,4.0,4.0
5,0910,Sporting,30.0,75.0,3.0,1.0
6,0910,Paços de Ferreira,30.0,75.0,4.0,0.0
7,0910,Benfica,30.0,74.0,1.0,2.0
8,0910,Belenenses,30.0,73.0,1.0,3.0
9,0910,Rio Ave,30.0,72.0,1.0,4.0
10,0910,Marítimo,30.0,71.0,2.0,4.0
11,0910,SC Braga,30.0,68.0,1.0,1.0
12,0910,UD Leiria,30.0,68.0,1.0,3.0
13,0910,Académica OAF,30.0,67.0,3.0,2.0
14,0910,FC Porto,30.0,64.0,3.0,0.0
15,0910,Naval,30.0,62.0,2.0,0.0
0,1011,Portimonense,30.0,96.0,5.0,3.0
1,1011,V. Setúbal,30.0,95.0,4.0,2.0
2,1011,V. Guimarães,30.0,94.0,4.0,1.0
3,1011,Rio Ave,30.0,93.0,4.0,2.0
4,1011,Marítimo,30.0,93.0,5.0,5.0
5,1011,UD Leiria,30.0,92.0,6.0,0.0
6,1011,Académica OAF,30.0,90.0,4.0,5.0
7,1011,Benfica,30.0,87.0,5.0,4.0
8,1011,SC Braga,30.0,86.0,3.0,5.0
9,1011,Sporting,30.0,85.0,1.0,2.0
10,1011,Olhanense,30.0,85.0,1.0,3.0
11,1011,FC Porto,30.0,81.0,2.0,1.0
12,1011,Paços de Ferreira,30.0,80.0,4.0,3.0
13,1011,Nacional,30.0,75.0,6.0,1.0
14,1011,Naval,30.0,73.0,1.0,7.0
15,1011,Beira-Mar,30.0,63.0,3.0,3.0
0,1112,V. Setúbal,30.0,107.0,7.0,2.0
1,1112,Olhanense,30.0,101.0,5.0,3.0
2,1112,Académica OAF,30.0,101.0,2.0,7.0
3,1112,Feirense,30.0,97.0,4.0,6.0
4,1112,Nacional,30.0,95.0,6.0,2.0
5,1112,Beira-Mar,30.0,95.0,6.0,3.0
6,1112,Marítimo,30.0,93.0,4.0,2.0
7,1112,V. Guimarães,30.0,90.0,2.0,1.0
8,1112,Sporting,30.0,89.0,4.0,2.0
9,1112,Paços de Ferreira,30.0,88.0,5.0,8.0
10,1112,Benfica,30.0,88.0,4.0,1.0
11,1112,FC Porto,30.0,84.0,1.0,2.0
12,1112,Rio Ave,30.0,84.0,4.0,1.0
13,1112,UD Leiria,30.0,70.0,3.0,5.0
14,1112,SC Braga,30.0,67.0,1.0,1.0
15,1112,Gil Vicente,30.0,61.0,2.0,2.0
0,1213,Marítimo,30.0,97.0,5.0,1.0
1,1213,Gil Vicente,30.0,93.0,4.0,1.0
2,1213,Rio Ave,30.0,91.0,3.0,4.0
3,1213,Nacional,30.0,87.0,7.0,5.0
4,1213,Beira-Mar,30.0,85.0,4.0,3.0
5,1213,V. Guimarães,30.0,83.0,1.0,3.0
6,1213,Sporting,30.0,82.0,4.0,1.0
7,1213,V. Setúbal,30.0,81.0,6.0,4.0
8,1213,Académica OAF,30.0,78.0,2.0,6.0
9,1213,Olhanense,30.0,78.0,2.0,3.0
10,1213,Paços de Ferreira,30.0,76.0,5.0,1.0
11,1213,Moreirense,30.0,75.0,2.0,3.0
12,1213,SC Braga,30.0,75.0,4.0,3.0
13,1213,Estoril Praia,30.0,73.0,6.0,3.0
14,1213,Benfica,30.0,57.0,3.0,3.0
15,1213,FC Porto,30.0,52.0,2.0,0.0
0,1314,Rio Ave,30.0,109.0,6.0,0.0
1,1314,FC Arouca,30.0,105.0,7.0,0.0
2,1314,Gil Vicente,30.0,97.0,3.0,6.0
3,1314,V. Guimarães,30.0,96.0,3.0,0.0
4,1314,Olhanense,30.0,94.0,7.0,4.0
5,1314,Paços de Ferreira,30.0,89.0,5.0,1.0
6,1314,V. Setúbal,30.0,86.0,3.0,5.0
7,1314,Belenenses,30.0,85.0,5.0,6.0
8,1314,Académica OAF,30.0,85.0,2.0,2.0
9,1314,Nacional,30.0,82.0,2.0,2.0
10,1314,Marítimo,30.0,82.0,3.0,7.0
11,1314,Sporting,30.0,82.0,1.0,1.0
12,1314,FC Porto,30.0,77.0,1.0,2.0
13,1314,SC Braga,30.0,72.0,1.0,3.0
14,1314,Benfica,30.0,66.0,2.0,0.0
15,1314,Estoril Praia,30.0,64.0,1.0,7.0
0,1415,Gil Vicente,34.0,119.0,9.0,1.0
1,1415,FC Penafiel,34.0,110.0,5.0,5.0
2,1415,Boavista,34.0,107.0,9.0,3.0
3,1415,V. Setúbal,34.0,105.0,7.0,5.0
4,1415,Estoril Praia,34.0,105.0,2.0,4.0
5,1415,Belenenses,34.0,102.0,1.0,0.0
6,1415,Marítimo,34.0,100.0,7.0,0.0
7,1415,Nacional,34.0,99.0,6.0,2.0
8,1415,V. Guimarães,34.0,99.0,6.0,3.0
9,1415,Sporting,34.0,99.0,8.0,2.0
10,1415,FC Arouca,34.0,96.0,4.0,1.0
11,1415,Rio Ave,34.0,95.0,3.0,4.0
12,1415,SC Braga,34.0,91.0,5.0,1.0
13,1415,Paços de Ferreira,34.0,90.0,4.0,0.0
14,1415,Moreirense,34.0,88.0,3.0,2.0
15,1415,Benfica,34.0,81.0,1.0,1.0
16,1415,Académica OAF,34.0,79.0,1.0,3.0
17,1415,FC Porto,34.0,64.0,1.0,2.0
0,1516,Marítimo,34.0,113.0,11.0,8.0
1,1516,Paços de Ferreira,34.0,112.0,2.0,2.0
2,1516,FC Arouca,34.0,110.0,3.0,1.0
3,1516,Boavista,34.0,103.0,7.0,0.0
4,1516,V. Setúbal,34.0,100.0,8.0,4.0
5,1516,V. Guimarães,34.0,99.0,4.0,5.0
6,1516,Moreirense,34.0,98.0,3.0,0.0
7,1516,Rio Ave,34.0,97.0,6.0,1.0
8,1516,Académica OAF,34.0,94.0,3.0,2.0
9,1516,SC Braga,34.0,86.0,5.0,5.0
10,1516,CD Tondela,34.0,85.0,3.0,3.0
11,1516,Belenenses,34.0,83.0,2.0,5.0
12,1516,FC Porto,34.0,82.0,2.0,1.0
13,1516,União Madeira,34.0,82.0,2.0,0.0
14,1516,Estoril Praia,34.0,77.0,4.0,1.0
15,1516,Benfica,34.0,75.0,2.0,0.0
16,1516,Nacional,34.0,74.0,5.0,1.0
17,1516,Sporting,34.0,73.0,0.0,4.0
0,1617,Feirense,34.0,100.0,4.0,2.0
1,1617,CD Tondela,34.0,94.0,6.0,3.0
2,1617,SC Braga,34.0,93.0,2.0,2.0
3,1617,Boavista,34.0,88.0,4.0,1.0
4,1617,Nacional,34.0,88.0,5.0,2.0
5,1617,Sporting,34.0,87.0,3.0,0.0
6,1617,FC Arouca,34.0,86.0,2.0,2.0
7,1617,Estoril Praia,34.0,83.0,3.0,0.0
8,1617,Moreirense,34.0,83.0,4.0,2.0
9,1617,Marítimo,34.0,82.0,1.0,0.0
10,1617,Belenenses,34.0,82.0,2.0,2.0
11,1617,GD Chaves,34.0,81.0,2.0,2.0
12,1617,V. Guimarães,34.0,76.0,2.0,2.0
13,1617,Rio Ave,34.0,74.0,4.0,3.0
14,1617,Paços de Ferreira,34.0,74.0,2.0,2.0
15,1617,V. Setúbal,34.0,73.0,0.0,0.0
16,1617,FC Porto,34.0,69.0,2.0,2.0
17,1617,Benfica,34.0,58.0,1.0,1.0
0,1718,Feirense,34.0,104.0,2.0,3.0
1,1718,Paços de Ferreira,34.0,97.0,3.0,5.0
2,1718,Moreirense,34.0,93.0,5.0,2.0
3,1718,Boavista,34.0,93.0,1.0,1.0
4,1718,Rio Ave,34.0,84.0,2.0,5.0
5,1718,Belenenses,34.0,81.0,6.0,3.0
6,1718,Marítimo,34.0,79.0,3.0,4.0
7,1718,SC Braga,34.0,78.0,1.0,0.0
8,1718,V. Guimarães,34.0,77.0,2.0,4.0
9,1718,Estoril Praia,34.0,74.0,2.0,5.0
10,1718,V. Setúbal,34.0,73.0,2.0,3.0
11,1718,CD Tondela,34.0,72.0,0.0,5.0
12,1718,CD Aves,34.0,72.0,0.0,3.0
13,1718,Portimonense,34.0,71.0,3.0,2.0
14,1718,Sporting,34.0,70.0,3.0,0.0
15,1718,FC Porto,34.0,67.0,2.0,1.0
16,1718,Benfica,34.0,60.0,1.0,0.0
17,1718,GD Chaves,34.0,59.0,1.0,2.0
0,1819,Boavista,34.0,104.0,4.0,2.0
1,1819,CD Tondela,34.0,101.0,6.0,7.0
2,1819,Sporting,34.0,100.0,2.0,5.0
3,1819,V. Setúbal,34.0,99.0,4.0,3.0
4,1819,Feirense,34.0,95.0,2.0,2.0
5,1819,Rio Ave,34.0,92.0,8.0,3.0
6,1819,Marítimo,34.0,86.0,0.0,4.0
7,1819,Nacional,34.0,84.0,4.0,0.0
8,1819,GD Chaves,34.0,84.0,1.0,4.0
9,1819,Santa Clara,34.0,78.0,2.0,4.0
10,1819,Portimonense,34.0,78.0,2.0,4.0
11,1819,CD Aves,34.0,76.0,2.0,1.0
12,1819,Moreirense,34.0,74.0,2.0,3.0
13,1819,Belenenses SAD,34.0,73.0,3.0,3.0
14,1819,Benfica,34.0,70.0,2.0,5.0
15,1819,V. Guimarães,34.0,68.0,2.0,1.0
16,1819,SC Braga,34.0,65.0,1.0,1.0
17,1819,FC Porto,34.0,61.0,0.0,1.0
0,1920,Paços de Ferreira,34.0,112.0,4.0,2.0
1,1920,Boavista,34.0,111.0,3.0,4.0
2,1920,FC Famalicão,34.0,99.0,3.0,8.0
3,1920,V. Setúbal,34.0,99.0,3.0,4.0
4,1920,Marítimo,34.0,98.0,1.0,5.0
5,1920,Belenenses SAD,34.0,96.0,3.0,1.0
6,1920,CD Aves,34.0,94.0,4.0,3.0
7,1920,Sporting,34.0,91.0,3.0,0.0
8,1920,SC Braga,34.0,91.0,2.0,4.0
9,1920,FC Porto,34.0,87.0,2.0,1.0
10,1920,Portimonense,34.0,83.0,2.0,0.0
11,1920,Moreirense,34.0,82.0,2.0,2.0
12,1920,CD Tondela,34.0,82.0,3.0,1.0
13,1920,Gil Vicente,34.0,76.0,3.0,1.0
14,1920,Santa Clara,34.0,75.0,1.0,2.0
15,1920,Benfica,34.0,71.0,1.0,1.0
16,1920,Rio Ave,34.0,71.0,2.0,5.0
17,1920,V. Guimarães,34.0,69.0,3.0,2.0
0,2021,Nacional,29.0,84.0,1.0,3.0
1,2021,Marítimo,29.0,83.0,2.0,1.0
2,2021,FC Famalicão,29.0,81.0,2.0,2.0
3,2021,Santa Clara,29.0,81.0,1.0,1.0
4,2021,Belenenses SAD,29.0,79.0,3.0,2.0
5,2021,Sporting,29.0,74.0,2.0,1.0
6,2021,Boavista,29.0,73.0,5.0,3.0
7,2021,Portimonense,29.0,72.0,0.0,1.0
8,2021,CD Tondela,29.0,70.0,2.0,3.0
9,2021,Moreirense,29.0,70.0,1.0,0.0
10,2021,Farense,29.0,67.0,3.0,3.0
11,2021,Benfica,29.0,64.0,0.0,0.0
12,2021,V. Guimarães,29.0,64.0,0.0,2.0
13,2021,Rio Ave,29.0,61.0,2.0,3.0
14,2021,Gil Vicente,29.0,60.0,2.0,2.0
15,2021,Paços de Ferreira,29.0,58.0,0.0,2.0
16,2021,SC Braga,29.0,55.0,1.0,4.0
17,2021,FC Porto,29.0,51.0,3.0,1.0
